place,id,act,text,prompt,name,desc,notes,,,,
bedroom,books,,,<style=prompt><b>[F]</b> Look at book</style>,,,just the general prompt,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bedroom,book1,1,,,"<style=prompt><align=center>The Amazing Maurice 
<size=70%><i>Terry Pratchett</i></size>
</align></style>","<style=prompt><i>I liked this one. The rats were smarter than a lot of the people. A lot of the words are blacked out, so it was harder to read again.</style>",,,,,
bedroom,book2,1,,,"<style=prompt><align=center>Insectopedia
<size=70%><i>Hugh Raffles</i></size></align></style>","<style=prompt>Perhaps the most dramatic example of parasitic brain control is the fungus Ophiocordyceps, which turns ants into ""zombies"" to ensure its own survival. A fungal spore lands on an ant, germinating and growing throughout its body, using the ant's own muscles to turn it into a puppet. As the infection reaches the brain, the fungus causes the ant to abandon its colony, climb to a specific height on a plant, and bite down on a leaf with a ""fatal grip"". Once in this optimal, humid position for fungal growth, the parasite kills the host and grows a spore-releasing stalk out of the ant's head to infect others.</style>",,,,,
bedroom,book3,1,,,<style=prompt><align=center>Regional Development Assessment: Peaks Sector</align></style>,<style=prompt><i>It's one of Mom's books. I read the pages with her writing on them… it's the only thing that is interesting about it.</i></style>,,,,,
bedroom,book4,1,,,"<style=prompt><align=center>Distant Cousin
<size=70%><i>L. Moore</i></size></align></style>","<style=prompt>It’s weird to think about people who knew you as a child. You change so much, and when you talk to them again, they’re not talking to you. They’re talking to someone else, someone you used to be. The person they think they’re seeing has been dead for years, but they didn’t see the change. They’re looking at a complete stranger, and they have no idea.</style>",,,,,s
bedroom,chess,,,<style=prompt><b>[F]</b> Look at board</style>,<style=prompt><align=center>Chess Board</align></style>,"<style=prompt><i>It's a magnetic chess board… or a checkers board. It's also a box for the pieces when folded, but there are no pieces inside. We used to keep both kinds of pieces in here.</i></style>",,,,,
bedroom,pencase,1,,<style=prompt><b>[F]</b> Look at pen case</style>,<style=prompt><align=center>Pen Case</align></style>,"<style=prompt><i>It had a pen once. Dad broke it against the wall a long, long time ago.</i></style>",,,,,
bedroom,notebook,,,<style=prompt><b>[F]</b> Look at notebook</style>,<style=prompt><align=center>Notebook</align></style>,"<style=prompt><i>The pages are glued together. It's not one of my sketchbooks, so it's okay.</i></style>",,,,,
bedroom,frame,1,,<style=prompt><b>[F]</b> Look at frame</style>,<style=prompt><align=center>Photo Frame</align></style>,<style=prompt><i>It's an empty photo frame. It wasn't empty before. Where did the photo go?</i></style>,,,,,
,,,,,,,,,,,
bedroom,book6,2,,,<style=prompt><align=center>Children's Poetry Collection - Vol. I</align></style>,"<style=prompt>Yesterday, upon the stair,
 I met a man who wasn’t there
 He wasn’t there again today
 I wish, I wish he’d go away…

When I came home last night at three
 The man was waiting there for me
 But when I looked around the hall
 I couldn’t see him there at all!
 Go away, go away, don’t you come back any more!
 Go away, go away, and please don’t slam the door… (slam!)

Last night I saw upon the stair
 A little man who wasn’t there
 He wasn’t there again today
 Oh, how I wish he’d go away…</style>",,,,,
bedroom,book7,2,,,"<style=prompt><align=center>Smoke Hollow
<size=70%><i>Katherine Arden</i></size></align></style>",<style=prompt>Avoid large places. Keep to small.</color></style>,,,,,
bedroom,book8,2,,,"<style=prompt><align=center>Ways of Survival
<size=70%><i>S. Han</i></size></align></style>","<style=prompt>⸢And, this tale was a story about a tragedy locked in a cycle.⸥</style> ",,,,,
,,,,,,,,,,,
bedroom,book5,3,,,"<style=prompt><align=center>The Blind Owl
<size=70%><i>Sadegh Hedayat</i></size></align></style>","<style=prompt>
Life as it proceeds reveals, cooly and dispassionately, what lies behind the mask that each man wears. It would seem that everyone possesses several faces. Some people use only one all the time, and it then, naturally, becomes soiled and wrinkled. These are the thrifty sort. Others look after their masks in the hope of passing them on to their descendants. Others again are constantly changing their faces. But all of them ... realise one day that the mask they are wearing is their last and that it will soon be worn out, and then, from behind the last mask, the real face appears.</style>",,,,,s
bedroom,book9,3,,,"<style=prompt><align=center>Jigsawed II
<size=70%><i>A. Narihisago</i></size></align></style>","<style=prompt>So, what are you? Are we enemies?</color></style>",,,,,s
,,,,,,,,,,,
bedroom,blocks,2,,<style=prompt><b>[F]</b> Look at blocks</style>,<style=prompt><align=center>Letter Blocks</align></style>,<style=prompt><i>It must have fallen when I was asleep.</i></style>,,,,,
,,,,,,,,,,,
bedroom,chess,2,,<style=prompt><b>[F]</b> Look at board</style>,<style=prompt><align=center>Chess Board</align></style>,<style=prompt><i>Mommy used to be really good at chess. That's what everyone said.</i></style>,,,,,
bedroom,pencase,2,,<style=prompt><b>[F]</b> Look at pen case</style>,<style=prompt><align=center>Pen Case</align></style>,<style=prompt><i>I wish I could draw right now.</i></style>,,,,,
,,,,,,,,,,,
bedroom,frame,3,,<style=prompt><b>[F]</b> Look at frame</style>,<style=prompt><align=center>Photo Frame</align></style>,<style=prompt><i>Where did they go?</i></style>,,,,,
