place,id,act,text,prompt,name,desc,notes,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bedroom,drawing_selfportrait,1,,,,"<style=prompt><align=center><i>It's only me.<i></align></style>",,,,,
bedroom,drawing_spooder,1,,,,"<style=prompt><align=center><i>I hate them.<i></align></style>",,,,,
bedroom,drawing_whenigrowup,1,,,,"<style=prompt><align=center><i>At least Dad stopped being mad about it.<i></align></style>",,,,,
bedroom,drawing_window,1,,,,"<style=prompt><align=center><i>I wish they'd play with me.<i></align></style>",,,,,
bedroom,drawing_zeb,1,,,,"<style=prompt><align=center><i>I want Zeb back. I don't know why they took him away.<i></align></style>",,,,,
bedroom,drawing_family,1,,,,"<style=prompt><align=center><i>I wish Mom and Dad would tell me what's going on.<i></align></style>",,,,,
bedroom,drawing_nlm,1,,,,"<style=prompt><align=center><i>Mommy said I was a gift. She was wrong.<i></align></style>",,,,,
bedroom,drawing_mommy,1,,,,"<style=prompt><align=center><i>I want her back. Dad would be happy again.<i></align></style>",,,,,
bedroom,drawing_swing,1,,,,"<style=prompt><align=center><i>I like the swing. It's my own space.<i></align></style>",,,,,
bedroom,drawing_monster,1,,,,"<style=prompt><align=center><i>I'm scared. It keeps watching me and it hurts.<i></align></style>",,,,,
bedroom,drawing_feel,1,,,,"<style=prompt><align=center><i>I'm not happy, but I'm not sad either. I don't know.<i></align></style>",,,,,
