place,id,text,prompt,name,desc,notes
prompt,lamp_on,,<style=real_prompt><b>[F]</b> Turn on</style>,,,
prompt,lamp_off,,<style=real_prompt><b>[F]</b> Turn off</style>,,,
,,,,,,
prompt,drawing_collect,,<style=real_prompt><b>[F]</b> Collect drawing</style>,,,
prompt,drawing_examine,,<style=real_prompt><b>[F]</b> Examine drawing</style>,,,
,,,,,,
prompt,res_letter,,<style=real_prompt><b>[F]</b> Read letter</style>,,,
prompt,fren_letter,,<style=real_prompt><b>[F]</b> Read letter</style>,,,
,,,,,,
prompt,wake_up,,<style=real_prompt><b>[F]</b> Wake up</style>,,,
,,,,,,
prompt,turn_off_tracker,,<style=real_prompt><b>[F]</b> Turn off sleep tracker</style>,,,
prompt,turn_on_tracker,,<style=real_prompt><b>[F]</b> Turn on sleep tracker</style>,,,
prompt,sleep,,<style=real_prompt><b>[F]</b> Head to bed</style>,,,
prompt,cant_sleep,<style=real_prompt>Can't. Can't. Can't.</style>,,,,
prompt,tracker_not_off,<style=real_prompt>It's too loud to sleep.</style>,<style=prompt>It's too loud to sleep.</style>,,,
prompt,no_drawings,<style=real_prompt><i>Can't. The table is empty.</i></style>,<style=prompt></style>,,,
,,,,,,
prompt,no_letters,<style=real_prompt><i>Did they write to me today?</i></style>,<style=prompt></style>,,,
prompt,no_letters2,<style=real_prompt><i>I miss Mom. Need to check.</i></style>,<style=prompt></style>,,,
,,,,,,
tutorial,inspect,<style=real_prompt>Click and drag to inspect. F or right click to exit.</style>,,,,
,,,,,,
nightmare,instruct,<style=real_prompt><i>Need to bring them back here. They're... lost in this place.</i></style>,,,,
,,,,,,
prompt,letters_not_read,<style=real_prompt><i>Wonder if they sent me letters today…</i></style>,,,,
prompt,letters_not_read_inspect,<style=real_prompt><i>Can't. Too tired. Did they send me letters today?</i></style>,,,,
,,,,,,
prompt,button_machine,,<style=real_prompt><b>[F]</b> Push button</style>,,,
