place,id,text,prompt,name,desc,notes
mainmenu,title,"<style=title>Broken Crayons</style>",,,,Game title
mainmenu,play,"<style=menuButton>Play</style>",,,,Main menu button
mainmenu,settings,"<style=menuButton>Settings</style>",,,,Main menu button
mainmenu,quit,"<style=menuButton>Quit</style>",,,,Main menu button

settings,title,"<style=title>Settings</style>",,,,Settings title
settings,back,"<style=menuButton>Back</style>",,,,Back button

pause,title,"<style=title>Pause</style>",,,,pause title
pause,continue,"<style=menuButton>Continue</style>",,,,continue button
pause,settings,"<style=menuButton>Settings</style>",,,,settings button
pause,mainmenu,"<style=menuButton>Main Menu</style>",,,,main menu button
