place,id,text,prompt,name,desc,notes
mainmenu,title,<style=title>Ephialtine</style>,,,,Game title
mainmenu,ng,<style=menuButton>New Game</style>,,,,Main menu button
mainmenu,continue,<style=menuButton>Continue</style>,,,,Main menu button
mainmenu,settings,<style=menuButton>Settings</style>,,,,
mainmenu,quit,<style=menuButton>Quit</style>,,,,
,,,,,,
mainmenu,version,<style=menuButton>2.0.1.0</style>,,,,Main menu button
,,,,,,
settings,title,<style=title>Settings</style>,,,,
settings,master,<style=menuButton>Master Volume</style>,,,,
settings,music,<style=menuButton>Music Volume</style>,,,,
settings,sfx,<style=menuButton>SFX Volume</style>,,,,
settings,back,<style=menuButton>Back</style>,,,,
,,,,,,
pause,title,<style=title>Pause</style>,,,,
pause,continue,<style=menuButton>Continue</style>,,,,
pause,settings,<style=menuButton>Settings</style>,,,,
pause,mainmenu,<style=menuButton>Main Menu</style>,,,,
,,,,,,
popup,confirm,<style=menuButton>Are you sure?</style>,,,,

